vino 3.22.0+60+gd29a4f2-1
virt-manager 2.1.0-2
visual-studio-code-bin 1.33.1-1
vlc 3.0.6-11
vue-cli 3.5.5-1
wget 1.20.3-1
which 2.21-3
whois 5.4.2-1
wine 4.6-1
wireshark-qt 3.0.1-1
wpa_supplicant 2:2.6-2
xf86-video-intel 1:2.99.917+863+g6afed33b-1
xfsprogs 4.20.0-2
xorg-server 1.20.4-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.2-2
xss-lock 0.3.0.g1e158fb20108-2
yay 9.2.0-1
yelp 3.32.1-1
zsh 5.7.1-1
