sudo 1.8.26-2
sushi 3.30.0-2
swig 3.0.12-2
sysfsutils 2.1.0-10
syslinux 6.03-11
sysstat 12.0.2-1
systemd-sysvcompat 239.303-1
tar 1.30-2
teensyduino 1.44-1
tensorflow 1.12.0-1
texinfo 6.5-2
texmaker 5.0.3-1
texstudio 2.12.14-1
tftp-hpa 5.2-7
thunar 1.8.2-1
thunar-volman 0.9.1-1
tigervnc 1.9.0-1
tinc 1.0.35-1
tk 8.6.9-2
tlp 1.1-1
tmux 2.8-1
totem 3.26.2-1
traceroute 2.1.0-2
tracker 2.1.6-2
tree 1.8.0-1
ttf-droid 20121017-6
ttf-ms-fonts 2.0-10
ttf-opensans 1.101-1
ttf-roboto 2.138-1
tumbler 0.2.3-2
typora 0.9.60-2
unzip 6.0-13
usbutils 010-1
util-linux 2.33-2
vagrant 2.2.1-1
vi 1:070224-3
vim 8.1.0542-1
vinagre 3.22.0+35+gadcb63c-1
vino 3.22.0+19+g15eb3c5-1
virt-manager 2.0.0-1
virtualbox 5.2.22-1
virtualbox-host-modules-arch 5.2.22-6
visual-studio-code-bin 1.29.1-1
vlc 3.0.4-7
weechat 2.3-1
wget 1.19.5-1
which 2.21-3
whois 5.4.0-1
wine 3.21-1
wireshark-gtk 2.6.4-2
wpa_supplicant 1:2.6-12
xar 1.6.1-4
xautolock 2.2-5
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xdotool 3.20160805.1-2
xfce4-appfinder 4.12.0-5
xfce4-panel 4.12.2-1
xfce4-power-manager 1.6.1-1
xfce4-session 4.12.1-8
xfce4-settings 4.12.4-1
xfce4-terminal 0.8.7.4-1
xfconf 4.12.1-5
xfdesktop 4.12.4-2
xfsprogs 4.19.0-1
xfwm4 4.12.5-1
xfwm4-themes 4.10.0-3
xorg-server 1.20.3-1
xorg-xinput 1.6.2-2
xorg-xrandr 1.5.0-2
xss-lock 0.3.0.g1e158fb20108-2
xterm 337-1
yay 8.1173.0-1
yelp 3.30.0-1
zsh 5.6.2-1
